Feature,Importance,Relative Importance (%)
log_revenue,0.99788684,99.78868
vote_average,0.00033744518,0.033744518
popularity,0.00024528505,0.024528505
cast_marketability,0.0002220441,0.02220441
runtime,0.00022059825,0.022059824
genre_success_rate,0.0002111948,0.02111948
genre_count,0.00018415577,0.018415578
studio_avg_revenue,9.112679e-05,0.009112679
genre_budget_interaction,8.338146e-05,0.008338146
release_day_of_week,7.768984e-05,0.007768984
vote_count,7.2013885e-05,0.0072013885
primary_genre_revenue,6.734606e-05,0.006734606
release_day_of_year,5.3630185e-05,0.0053630187
is_weekend_release,5.0820778e-05,0.005082078
release_year,4.9414153e-05,0.0049414155
company_count,3.3441644e-05,0.0033441645
studio_consistency,3.2212723e-05,0.0032212723
company_target_encoded,2.851724e-05,0.002851724
is_summer_release,2.723761e-05,0.002723761
release_season_encoded,1.6310905e-05,0.0016310905
genre_target_encoded,9.284103e-06,0.00092841027
release_month,0.0,0.0
release_quarter,0.0,0.0
director_quality_proxy,0.0,0.0
cast_count,0.0,0.0
director_count,0.0,0.0
is_multi_genre,0.0,0.0
genre_diversity,0.0,0.0
cast_success_score,0.0,0.0
has_ensemble_cast,0.0,0.0
cast_prominence_proxy,0.0,0.0
is_holiday_season,0.0,0.0
release_quarter_encoded,0.0,0.0
language_frequency,0.0,0.0
